token,centrality,length,label
STR DQUT RPRN RPRN AND INT EQ STR DOT STR CHR INT OR CHR INT OR CHR INT OR CHR INT CMMA INT AND LPRN LPRN DQUT STR DQUT EQ DQUT STR,0.12903225806451613 0.16129032258064516 0.1935483870967742 0.22580645161290322 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.22580645161290322 0.1935483870967742 0.16129032258064516 0.12903225806451613,177,threat
STR DQUT AND INT EQ STR DOT STR CHR INT OR CHR INT OR CHR INT OR CHR INT CMMA INT AND DQUT STR DQUT EQ DQUT STR,0.14814814814814814 0.18518518518518517 0.2222222222222222 0.25925925925925924 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.25925925925925924 0.2222222222222222 0.18518518518518517 0.14814814814814814,165,threat
STR DQUT AND INT EQ STR DOT STR CHR INT OR CHR INT OR CHR INT OR CHR INT CMMA INT AND DQUT STR DQUT LIKE DQUT STR,0.14814814814814814 0.18518518518518517 0.2222222222222222 0.25925925925925924 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.25925925925925924 0.2222222222222222 0.18518518518518517 0.14814814814814814,172,threat
STR PRCNT SQUT RPRN AND INT EQ STR DOT STR CHR INT OR CHR INT OR CHR INT OR CHR INT CMMA INT AND LPRN SQUT PRCNT SQUT EQ SQUT,0.13793103448275862 0.1724137931034483 0.20689655172413793 0.24137931034482757 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.24137931034482757 0.20689655172413793 0.1724137931034483 0.13793103448275862,169,threat
STR PRCNT SQUT RPRN RPRN AND INT EQ STR DOT STR CHR INT OR CHR INT OR CHR INT OR CHR INT CMMA INT AND LPRN LPRN SQUT PRCNT SQUT EQ SQUT,0.12903225806451613 0.16129032258064516 0.1935483870967742 0.22580645161290322 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.22580645161290322 0.1935483870967742 0.16129032258064516 0.12903225806451613,175,threat
STR PRCNT SQUT AND INT EQ STR DOT STR CHR INT OR CHR INT OR CHR INT OR CHR INT CMMA INT AND SQUT PRCNT SQUT EQ SQUT,0.14814814814814814 0.18518518518518517 0.2222222222222222 0.25925925925925924 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.25925925925925924 0.2222222222222222 0.18518518518518517 0.14814814814814814,163,threat
STR RPRN AND INT EQ STR DOT STR CHR INT OR CHR INT OR CHR INT OR CHR INT CMMA INT DSCMT STR,0.18181818181818182 0.2272727272727273 0.2727272727272727 0.3181818181818182 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.3181818181818182 0.2727272727272727 0.2272727272727273 0.18181818181818182,145,threat
STR RPRN RPRN AND INT EQ STR DOT STR CHR INT OR CHR INT OR CHR INT OR CHR INT CMMA INT AND LPRN LPRN INT EQ INT,0.14814814814814814 0.18518518518518517 0.2222222222222222 0.25925925925925924 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.25925925925925924 0.2222222222222222 0.18518518518518517 0.14814814814814814,165,threat
STR RPRN RPRN RPRN AND INT EQ STR DOT STR CHR INT OR CHR INT OR CHR INT OR CHR INT CMMA INT AND LPRN LPRN LPRN INT EQ INT,0.13793103448275862 0.1724137931034483 0.20689655172413793 0.24137931034482757 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.24137931034482757 0.20689655172413793 0.1724137931034483 0.13793103448275862,171,threat
STR AND INT EQ STR DOT STR CHR INT OR CHR INT OR CHR INT OR CHR INT CMMA INT DSCMT STR,0.19047619047619047 0.23809523809523808 0.2857142857142857 0.3333333333333333 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.3333333333333333 0.2857142857142857 0.23809523809523808 0.19047619047619047,142,threat
STR SQUT AND INT EQ SELECT STR STAR FROM STR STR CMMA STR STR CMMA STR STR CMMA STR STR CMMA STR STR DSCMT STR,0.16666666666666666 0.20833333333333331 0.25 0.29166666666666663 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.29166666666666663 0.25 0.20833333333333331 0.16666666666666666,168,threat
STR SQUT RPRN RPRN AND INT EQ SELECT STR STAR FROM STR STR CMMA STR STR CMMA STR STR CMMA STR STR CMMA STR STR AND LPRN LPRN SQUT STR SQUT EQ SQUT STR,0.12121212121212122 0.15151515151515152 0.18181818181818182 0.21212121212121213 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.21212121212121213 0.18181818181818182 0.15151515151515152 0.12121212121212122,200,threat
STR SQUT RPRN AND INT EQ SELECT STR STAR FROM STR STR CMMA STR STR CMMA STR STR CMMA STR STR CMMA STR STR AND LPRN SQUT STR SQUT LIKE SQUT STR,0.12903225806451613 0.16129032258064516 0.1935483870967742 0.22580645161290322 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.22580645161290322 0.1935483870967742 0.16129032258064516 0.12903225806451613,201,threat
STR SQUT RPRN RPRN AND INT EQ SELECT STR STAR FROM STR STR CMMA STR STR CMMA STR STR CMMA STR STR CMMA STR STR AND LPRN LPRN SQUT STR SQUT LIKE SQUT STR,0.12121212121212122 0.15151515151515152 0.18181818181818182 0.21212121212121213 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.21212121212121213 0.18181818181818182 0.15151515151515152 0.12121212121212122,207,threat
STR SQUT AND INT EQ SELECT STR STAR FROM STR STR CMMA STR STR CMMA STR STR CMMA STR STR CMMA STR STR AND SQUT STR SQUT LIKE SQUT STR,0.13793103448275862 0.1724137931034483 0.20689655172413793 0.24137931034482757 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.24137931034482757 0.20689655172413793 0.1724137931034483 0.13793103448275862,195,threat
STR DQUT RPRN RPRN AND INT EQ SELECT STR STAR FROM STR STR CMMA STR STR CMMA STR STR CMMA STR STR CMMA STR STR AND LPRN LPRN DQUT STR DQUT EQ DQUT STR,0.12121212121212122 0.15151515151515152 0.18181818181818182 0.21212121212121213 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.21212121212121213 0.18181818181818182 0.15151515151515152 0.12121212121212122,200,threat
STR DQUT AND INT EQ SELECT STR STAR FROM STR STR CMMA STR STR CMMA STR STR CMMA STR STR CMMA STR STR AND DQUT STR DQUT EQ DQUT STR,0.13793103448275862 0.1724137931034483 0.20689655172413793 0.24137931034482757 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.24137931034482757 0.20689655172413793 0.1724137931034483 0.13793103448275862,188,threat
STR PRCNT SQUT RPRN AND INT EQ SELECT STR STAR FROM STR STR CMMA STR STR CMMA STR STR CMMA STR STR CMMA STR STR AND LPRN SQUT PRCNT SQUT EQ SQUT,0.12903225806451613 0.16129032258064516 0.1935483870967742 0.22580645161290322 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.25806451612903225 0.22580645161290322 0.1935483870967742 0.16129032258064516 0.12903225806451613,192,threat
STR PRCNT SQUT RPRN RPRN AND INT EQ SELECT STR STAR FROM STR STR CMMA STR STR CMMA STR STR CMMA STR STR CMMA STR STR AND LPRN LPRN SQUT PRCNT SQUT EQ SQUT,0.12121212121212122 0.15151515151515152 0.18181818181818182 0.21212121212121213 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.24242424242424243 0.21212121212121213 0.18181818181818182 0.15151515151515152 0.12121212121212122,198,threat
STR PRCNT SQUT AND INT EQ SELECT STR STAR FROM STR STR CMMA STR STR CMMA STR STR CMMA STR STR CMMA STR STR AND SQUT PRCNT SQUT EQ SQUT,0.13793103448275862 0.1724137931034483 0.20689655172413793 0.24137931034482757 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.24137931034482757 0.20689655172413793 0.1724137931034483 0.13793103448275862,186,threat
STR RPRN AND INT EQ SELECT STR STAR FROM STR STR CMMA STR STR CMMA STR STR CMMA STR STR CMMA STR STR DSCMT STR,0.16666666666666666 0.20833333333333331 0.25 0.29166666666666663 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.29166666666666663 0.25 0.20833333333333331 0.16666666666666666,168,threat
STR RPRN AND INT EQ SELECT STR STAR FROM STR STR CMMA STR STR CMMA STR STR CMMA STR STR CMMA STR STR AND LPRN INT EQ INT,0.14814814814814814 0.18518518518518517 0.2222222222222222 0.25925925925925924 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.25925925925925924 0.2222222222222222 0.18518518518518517 0.14814814814814814,182,threat
STR RPRN RPRN AND INT EQ SELECT STR STAR FROM STR STR CMMA STR STR CMMA STR STR CMMA STR STR CMMA STR STR AND LPRN LPRN INT EQ INT,0.13793103448275862 0.1724137931034483 0.20689655172413793 0.24137931034482757 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.27586206896551724 0.24137931034482757 0.20689655172413793 0.1724137931034483 0.13793103448275862,188,threat
STR AND INT EQ SELECT STR STAR FROM STR STR CMMA STR STR CMMA STR STR CMMA STR STR CMMA STR STR,0.19047619047619047 0.23809523809523808 0.2857142857142857 0.3333333333333333 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.3333333333333333 0.2857142857142857 0.23809523809523808 0.19047619047619047,156,threat
STR AND INT EQ SELECT STR STAR FROM STR STR CMMA STR STR CMMA STR STR CMMA STR STR CMMA STR STR HASH STR,0.17391304347826086 0.21739130434782608 0.2608695652173913 0.30434782608695654 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.30434782608695654 0.2608695652173913 0.21739130434782608 0.17391304347826086,166,threat
STR SQUT AND INT EQ SELECT STR STAR FROM STR DOT STR AS STR CMMA STR DOT STR AS STR CMMA STR DOT STR AS STR DSCMT STR,0.14814814814814814 0.18518518518518517 0.2222222222222222 0.25925925925925924 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.25925925925925924 0.2222222222222222 0.18518518518518517 0.14814814814814814,170,threat
STR SQUT RPRN AND INT EQ SELECT STR STAR FROM STR DOT STR AS STR CMMA STR DOT STR AS STR CMMA STR DOT STR AS STR AND LPRN SQUT STR SQUT EQ SQUT STR,0.11764705882352941 0.14705882352941177 0.1764705882352941 0.20588235294117646 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.20588235294117646 0.1764705882352941 0.14705882352941177 0.11764705882352941,196,threat
STR SQUT RPRN RPRN RPRN AND INT EQ SELECT STR STAR FROM STR DOT STR AS STR CMMA STR DOT STR AS STR CMMA STR DOT STR AS STR AND LPRN LPRN LPRN SQUT STR SQUT EQ SQUT STR,0.10526315789473684 0.13157894736842105 0.15789473684210525 0.18421052631578946 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.18421052631578946 0.15789473684210525 0.13157894736842105 0.10526315789473684,208,threat
STR SQUT RPRN AND INT EQ SELECT STR STAR FROM STR DOT STR AS STR CMMA STR DOT STR AS STR CMMA STR DOT STR AS STR AND LPRN SQUT STR SQUT LIKE SQUT STR,0.11764705882352941 0.14705882352941177 0.1764705882352941 0.20588235294117646 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.20588235294117646 0.1764705882352941 0.14705882352941177 0.11764705882352941,203,threat
STR SQUT AND INT EQ SELECT STR STAR FROM STR DOT STR AS STR CMMA STR DOT STR AS STR CMMA STR DOT STR AS STR AND SQUT STR SQUT LIKE SQUT STR,0.125 0.15625 0.1875 0.21875 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.21875 0.1875 0.15625 0.125,197,threat
STR DQUT RPRN AND INT EQ SELECT STR STAR FROM STR DOT STR AS STR CMMA STR DOT STR AS STR CMMA STR DOT STR AS STR AND LPRN DQUT STR DQUT EQ DQUT STR,0.11764705882352941 0.14705882352941177 0.1764705882352941 0.20588235294117646 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.20588235294117646 0.1764705882352941 0.14705882352941177 0.11764705882352941,196,threat
STR DQUT RPRN AND INT EQ SELECT STR STAR FROM STR DOT STR AS STR CMMA STR DOT STR AS STR CMMA STR DOT STR AS STR AND LPRN DQUT STR DQUT LIKE DQUT STR,0.11764705882352941 0.14705882352941177 0.1764705882352941 0.20588235294117646 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.23529411764705882 0.20588235294117646 0.1764705882352941 0.14705882352941177 0.11764705882352941,203,threat
STR DQUT AND INT EQ SELECT STR STAR FROM STR DOT STR AS STR CMMA STR DOT STR AS STR CMMA STR DOT STR AS STR AND DQUT STR DQUT LIKE DQUT STR,0.125 0.15625 0.1875 0.21875 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.21875 0.1875 0.15625 0.125,197,threat
STR PRCNT SQUT RPRN RPRN AND INT EQ SELECT STR STAR FROM STR DOT STR AS STR CMMA STR DOT STR AS STR CMMA STR DOT STR AS STR AND LPRN LPRN SQUT PRCNT SQUT EQ SQUT,0.1111111111111111 0.1388888888888889 0.16666666666666666 0.19444444444444442 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.2222222222222222 0.19444444444444442 0.16666666666666666 0.1388888888888889 0.1111111111111111,200,threat
STR PRCNT SQUT AND INT EQ SELECT STR STAR FROM STR DOT STR AS STR CMMA STR DOT STR AS STR CMMA STR DOT STR AS STR AND SQUT PRCNT SQUT EQ SQUT,0.125 0.15625 0.1875 0.21875 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.21875 0.1875 0.15625 0.125,188,threat
STR PRCNT DQUT AND INT EQ SELECT STR STAR FROM STR DOT STR AS STR CMMA STR DOT STR AS STR CMMA STR DOT STR AS STR AND DQUT PRCNT DQUT EQ DQUT,0.125 0.15625 0.1875 0.21875 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.21875 0.1875 0.15625 0.125,188,threat
STR RPRN AND INT EQ SELECT STR STAR FROM STR DOT STR AS STR CMMA STR DOT STR AS STR CMMA STR DOT STR AS STR DSCMT STR,0.14814814814814814 0.18518518518518517 0.2222222222222222 0.25925925925925924 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.25925925925925924 0.2222222222222222 0.18518518518518517 0.14814814814814814,170,threat
STR RPRN AND INT EQ SELECT STR STAR FROM STR DOT STR AS STR CMMA STR DOT STR AS STR CMMA STR DOT STR AS STR AND LPRN INT EQ INT,0.13333333333333333 0.16666666666666666 0.2 0.23333333333333334 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.23333333333333334 0.2 0.16666666666666666 0.13333333333333333,184,threat
STR RPRN RPRN AND INT EQ SELECT STR STAR FROM STR DOT STR AS STR CMMA STR DOT STR AS STR CMMA STR DOT STR AS STR AND LPRN LPRN INT EQ INT,0.125 0.15625 0.1875 0.21875 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.21875 0.1875 0.15625 0.125,190,threat
STR AND INT EQ SELECT STR STAR FROM STR DOT STR AS STR CMMA STR DOT STR AS STR CMMA STR DOT STR AS STR,0.16666666666666666 0.20833333333333331 0.25 0.29166666666666663 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.29166666666666663 0.25 0.20833333333333331 0.16666666666666666,158,threat
